id,cluster
BE/352/1989,BE89
BE/353/1989,BE89
VI/2/1990,BE89
EN/260/1991,BE89
EN/261/1991,BE89
GE/6447/1991,BE89
LY/1149/1991,BE89
LY/1182/1991,BE89
LY/1189/1991,BE89
LY/1276/1991,BE89
LY/1337/1991,BE89
LY/1373/1991,BE89
LY/1594/1991,BE89
LY/23672/1991,BE89
LY/24103/1991,BE89
LY/24222/1991,BE89
MA/G12/1991,BE89
NL/816/1991,BE89
ST/20/1991,BE89
AM/4112/1992,BE89
ES/1285/1992,BE89
FI/218/1992,BE89
FI/220/1992,BE89
GE/5113/1992,BE89
HO/56798/1992,BE89
HO/56829/1992,BE89
HO/56941/1992,BE89
MA/G58/1992,BE89
NI/3126/1992,BE89
NI/3129/1992,BE89
NL/819/1992,BE89
NL/823/1992,BE89
NL/935/1992,BE89
OV/31/1992,BE89
PA/320/1992,BE89
PA/325/1992,BE89
PA/407/1992,BE89
PA/417/1992,BE89
PA/424/1992,BE89
PA/457/1992,BE89
PA/467/1992,BE89
PA/490/1992,BE89
PA/512/1992,BE89
PA/548/1992,BE89
PA/564/1992,BE89
PA/583/1992,BE89
PA/597/1992,BE89
PA/614/1992,BE89
RD/100540/1992,BE89
SA/8/1992,BE89
SA/23/1992,BE89
SA/27/1992,BE89
ST/7/1992,BE89
ST/8/1992,BE89
ST/13/1992,BE89
TI/5957/1992,BE89
UM/1982/1992,BE89
UM/2000/1992,BE89
VI/68/1992,BE89
ES/5458/1993,BE89
MA/G101/1993,BE89
MA/G116/1993,BE89
NL/165/1993,BE89
PA/287/1993,BE89
BE/32/1992,BE92
FI/247/1992,BE92
NL/938/1992,BE92
SE/C273/1992,BE92
ST/12/1992,BE92
AK/4/1993,BE92
GD/25/1993,BE92
LY/672/1993,BE92
LY/1803/1993,BE92
LY/1815/1993,BE92
LY/22686/1993,BE92
LY/23602/1993,BE92
MA/G102/1993,BE92
MA/G109/1993,BE92
MA/G122/1993,BE92
MA/G130/1993,BE92
NL/3/1993,BE92
NL/17/1993,BE92
NL/101/1993,BE92
NL/115/1993,BE92
NL/126/1993,BE92
NL/179/1993,BE92
NL/241/1993,BE92
NL/357/1993,BE92
NL/371/1993,BE92
NL/398/1993,BE92
NL/440/1993,BE92
OS/2219/1993,BE92
OS/2352/1993,BE92
SD/9/1993,BE92
SG/6/1993,BE92
SL/142/1993,BE92
SL/160/1993,BE92
SP/3/1993,BE92
ST/20/1993,BE92
VI/104/1993,BE92
WE/59/1993,BE92
YA/56/1993,BE92
YA/61/1993,BE92
YA/62/1993,BE92
HK/1/1994,BE92
HK/2/1994,BE92
HK/55/1994,BE92
HK/56/1994,BE92
JO/33/1994,BE92
JO/47/1994,BE92
NL/18/1994,BE92
SA/15/1994,BE92
SA/25/1994,BE92
HK/3/1995,BE92
HK/32/1995,BE92
HK/38/1995,BE92
NL/1/1995,BE92
VI/75/1995,BE92
HK/42/1996,BE92
HK/434/1996,BE92
NL/91/1996,BE92
NL/209/1980,BK79
RD/577/1980,BK79
BI/4791/81,BK79
BI/10684/1982,BK79
NL/233/1982,BK79
NL/241/1982,BK79
PH/2/1982,BK79
OS/13676/1983,BK79
CE/1/1984,BK79
GF/V728/1985,BK79
NL/330/1985,BK79
ST/10/1985,BK79
WE/4/1985,BK79
CO/2/1986,BK79
LE/360/1986,BK79
CC/2/1988,BK79
BI/21793/1972,EN72
BI/23290/1972,EN72
BI/23337/1972,EN72
EN/42/1972,EN72
BI/552/1973,EN72
BI/748/1973,EN72
BI/3517/1973,EN72
PC/1/1973,EN72
BI/5146/1974,EN72
BI/5930/1974,EN72
BI/5931/1974,EN72
BI/7398/1974,EN72
BI/9459/1974,EN72
BI/2600/1975,EN72
BI/2813/1975,EN72
FU/411/2002,FU02
FI/170/2003,FU02
NL/22/2003,FU02
NL/213/2003,FU02
NL/217/2003,FU02
NL/222/2003,FU02
BI/15793/1968,HK68
BI/16190/1968,HK68
BI/16398/1968,HK68
HK/1/1968,HK68
BI/808/1969,HK68
BI/908/1969,HK68
BI/17938/1969,HK68
BI/93/1970,HK68
BI/2668/1970,HK68
BI/6449/1971,HK68
BI/21438/1971,HK68
BI/21801/1971,HK68
HK/107/1971,HK68
BI/6022/1972,HK68
SH/11/1987,SI87
SI/2/1987,SI87
VI/7/1987,SI87
EN/427/1988,SI87
NL/450/1988,SI87
ST/12/1988,SI87
AT/211/1989,SI87
GE/5007/1989,SI87
GU/54/1989,SI87
HK/1/1989,SI87
NL/620/1989,SI87
NL/650/1989,SI87
NL/738/1989,SI87
SP/34/1989,SI87
SP/35/1989,SI87
SP/36/1989,SI87
SP/40/1989,SI87
SP/53/1989,SI87
VI/1/1989,SI87
WE/5/1989,SI87
ME/2/1990,SI87
ME/5/1990,SI87
SH/24/1990,SI87
SU/1/1990,SI87
CA/1/1991,SI87
AU/10/1997,SY97
NL/300/1997,SY97
SY/5/1997,SY97
NL/414/1998,SY97
NL/427/1998,SY97
NL/462/1998,SY97
MW/10/1999,SY97
NL/301/1999,SY97
PM/2007/1999,SY97
NL/3/2000,SY97
NL/118/2001,SY97
NL/124/2001,SY97
NL/126/2001,SY97
NL/1/2002,SY97
NL/120/2002,SY97
NL/20/2003,SY97
BI/628/1976,TX77
BI/2271/1976,TX77
TE/1/1977,TX77
VI/3/1975,VI75
BI/1761/1976,VI75
BI/5029/1976,VI75
BI/5657/1976,VI75
BI/6545/1976,VI75
AM/1609/1977,VI75
BI/3895/1977,VI75
RD/5828/1977,VI75
RD/8179/1977,VI75
MA/G252/1993,WU95
NL/372/1993,WU95
NL/399/1993,WU95
EN/7/1994,WU95
FI/338/1995,WU95
FI/339/1995,WU95
FI/381/1995,WU95
GE/A9509/1995,WU95
HK/49/1995,WU95
HK/55/1995,WU95
LY/2279/1995,WU95
NA/933/1995,WU95
NL/271/1995,WU95
WU/359/1995,WU95
BR/8/1996,WU95
GE/3958/1996,WU95
HK/20/1996,WU95
HK/357/1996,WU95
HK/358/1996,WU95
LY/1781/1996,WU95
SP/1/1996,WU95
HK/1/1997,WU95
HK/280/1997,WU95
JO/10/1997,WU95
NE/491/1997,WU95
OS/21/1997,WU95
OS/244/1997,WU95
NL/5/1998,WU95
